Summary,Status,Priority,Created,Resolved,Labels,Description
Push dialog empty,Done,Low,2019-12-09 10:17:00,2021-02-22 05:39:00,bug - UI - refresh,"Since installing version 3.4.2 of Sourcetree for Windows, I am not able to create pull requests.My previous version of Sourcetree was 3.3.9, so I don't know where the problem started.I have tried uninstalling Sourcetree completely and reinstalling it, but the problem still persist.This is a problem similar to the one reported here https://jira.atlassian.com/browse/SRCTREEWIN-12482 but this time the workaround doesn't work any more."
git log failed with code -1: Access is denied,Done,Low,2020-01-23 07:38:00,2020-11-10 15:17:00,bug - push - dialog,"Since the 3.3.6.3829 update Sourcetree seems to fail to update the display after operations are done (committing, changing branch), always requiring a manual refresh to show the new state.Ignore version in field below since the current release isn't available to select.a a "
Issue with SSL protocol in Sourcetree older versions,Done,Low,2020-01-15 16:09:00,2020-11-17 10:59:00,bug - git-log - access-denied,Since this version changes detection is broken (i have to press F5 or change tab with repo)!
SourceTree User Interface does not refresh automatically in a fresh Win 10 install ,Done,Low,2020-01-14 03:36:00,2020-11-10 15:13:00,bug - SSL - security,"Since updating my Sourcetree to Version 3.3.6, I have been observing that Sourcetree's window does not reflect any immediate change after performing actions such as: * Discarding a file from a possible commit * Selecting a single file for a commit * Pushing a commitThe actions do actually happen. It is just that Sourcetree is not showing those actions immediately.One workaround is to select to see the contents of another branch or move to a different view (like from the commit window to the branch contents, for example) in order to see the updated status after you have performed the action. Another workaround is to close Sourcetree and then reopen it.(Note: could not type in 3.3.6 for the version number in the ""Affects Version/s"" field as the dialog would not allow me to do so)."
Can't login to bitbucket so I can't use the software,Done,Low,2020-12-13 16:07:00,2021-01-22 10:31:00,bug - UI - refresh - windows-10,"Since updating to 3.4.2, I typically receive this popup when launching Sourcetree!image-2021-01-21-14-53-57-608.png|width=466,height=194!(Run 'git lfs pull' now?a  The repository .. is using Gif LFS but it appears the binary content hasn't been downloaded yet.a  Do you want to download the LFS files required by your current checkout?)I seem to get this every time I launch SourceTree, even if nothing has changed (and everything is already downloaded and\or clicking ""yes"", etc.)"
Sourcetree closes on Cancelling the checking out branch from browser,Done,Low,2021-02-26 17:00:00,2021-02-26 17:01:00,bug - authentication - bitbucket,"Since upgrading to *Sourcetree 3.3.4*, we are getting an error message when trying to create a pull request.!image-2019-11-08-09-06-33-332.png!Also, the ""Remote"" button, located on the top right of the Sourcetree window, is now showing a red exclamation mark. When this button is clicked another error message is shown ""Unable to open your web browser to <remote URL>, do you have a default web browser set?""Going to Setting as suggested by the first error above, selecting the your remote, clicking ""Edit"", then without changing anything, clicking OK to close that window, and then OK again to close the ""repository settings"" window, fixes the error and pull requests can be created again, but only temporarily, until Sourcetree is Done.The next session of Sourcetree will still show the error when creating a pull request.a _Note_: This error happens in version *3.3.4*, not in version 3.2.4, but when creating the issue here and typing 3.3.4 in the ""Affects Version/s"" edit box, I get an error saying that that version doesn't exist.a There's a community question related to this:https://community.atlassian.com/t5/Sourcetree-questions/Unable-to-Create-Pull-Request-Default-Browser-Empty/qaq-p/1213475"
Discarding multiple unstaged files consumes too much memory,Done,Low,2021-09-29 18:09:00,2022-03-09 06:26:00,bug - crash - checkout,some errors show up as shown in the screenshot and when I try to clone the repo the sourcetree software crashes and closes.!image-2022-01-04-12-38-58-699.png!
SourceTree Returns Incomplete & Inaccurate List of Repositories from Bitbucket Server,Done,Low,2021-01-29 13:16:00,2021-02-01 04:32:00,bug - performance - memory - discard,"Sometimes, when I was scrolling the stages panel, the application blocks and then I need to restart it."
Drag/drop of local repositories does not work correctly,Done,Low,2020-11-03 13:10:00,2021-12-06 16:10:00,bug - bitbucket - repositories,"Source tree crashes everytime i open , I have uninstalled and installed many times"
SourceTree W10 not refreshing GUI on any action,Done,Low,2020-01-13 19:21:00,2020-11-10 15:12:00,bug - drag-drop - repositories,"Source tree doesn't show the up-to-date state of files.For example, I had 3 files with changes, I reverted one via source tree that file still is showing it on commit list. I re-opened the sourcetree and it showed the correct files (2 files)I also changed branches and it didn't reflect on UI and still showing the wrong branch highlighted.Clicking on stage doesn't show any change on screen (as if files have not been staged)I re-installed the source tree and the same issue is happening.a It's a very dangerous situation because you trust what you see on UI but actually it is not the correct state.a version 3.3.6 (This version is not available on affects versions list)windows 10"
I am not able to sourcetree with my repository(Azure) ,Done,Low,2021-01-07 17:07:00,2021-01-07 17:08:00,bug - UI - refresh - windows-10,Source tree will not refresh when changing branches not when files have been committed.When I try to switch branch UI does not get refreshed that I have changed(checked out) branch. I need to open and close program to make it work.If I commit I need each time to hit F5 to refresh and get new commit history.a Can not set affected version that is correct it is 3.3.6!image-2020-01-28-16-09-37-391.png!
Sourcetree for Windows crash after a few seconds.,Done,Low,2022-04-19 15:39:00,2022-04-28 13:05:00,bug - authentication - azure,"SourceTree 3.4.6 is shipping outdated putty binaries:app-3.4.6\tools\putty\ pageant.exe, plink.exe, puttygen.exe""Pageant: Release 0.70.2-Sourcetree""""plink: Release 0.70.2-Sourcetree""""PuTTYgen Release 0.70.2-Sourcetree""Not sure if 0.70.2-Sourcetree is 0.70 or if fixes get backported.a Current Putty Version 0.76 (released 2021-07-17)Sourcetree Putty Version 0.70 (released 2017-07-08)https://www.chiark.greenend.org.uk/~sgtatham/putty/changes.html"
Bug found in sourcetree 3.2.6,Done,Low,2019-12-01 11:41:00,2020-11-02 17:34:00,bug - crash - startup,"Sourcetree 4.0 comes with the following changes{quote}*Changes**macOS Dark Mode*Choose from automatic, light, or dark at a clickReplaces the previous custom Atlassian dark theme{quote}With all due respect, these two changes are broken.Previous Atlassian dark theme was better in the sense of better colour contrast.!image-2019-10-29-11-07-49-998.png|width=255,height=348!In the attached screenshot you can see that the transparency of the sidebar doesn't play well with the number of commits ahead/behind.a Also, I cannot switch between Light/Dark theme. Now it's only Dark.PS:""a Sourcetree 4.0 - Major Release [22 October 2019]"" is not part of the ""Affects Version"" lista "
AskPass error dialog (0xc0000142) keeps popping up over other apps,Done,Low,2019-12-21 22:02:00,2021-07-29 11:56:00,bug - crash - windows,Sourcetree closes pageant on exit even if it hadn't been started by Sourcetree.*Issue reproduction:* # Make sure that Options->General->'Automatically start SSH agent when Sourcetree opens' option is disabled and close Sourcetree. # Start external (=not provided with Sourcetree) pageant instance. # Start Sourcetree. # Close Sourcetree_Result:_Pageant is Done._Expected behaviour:_Sourcetree should not stop pageant if it hadn't been started by Sourcetree. Pageant can be used by other applications.a 
"Lack ""go back"" button in ""Return tickets"" form",Done,Low,2019-11-28 18:03:00,2020-11-17 14:07:00,bug - askpass - error,Sourcetree commit is not responding - every time it asks for credentials and then does nothing after.a Version in use isa 3.3.8 Sourcetree for Windows.
WTF ??? Not display branches,Done,Low,2019-11-21 06:15:00,2021-02-01 05:59:00,bug - UI - branches,"SourceTree for Windowsa after update to 3.4.1 unable to create pull request - says thatWTF? I use Atlasian Bitbucket server, WHY this stuff is broken from version to version of SourceTree????""[Window Title]Remote project configuration[Content]You don't have any remotes which have extended integration settings configured; you need to edit your remotes to add details such as the hosting type and base URL. Click the Settings button to open your remote list.[Settings] [Cancel]"""
Provide an option in Rename Branch Dialogue to force Rename (ie git branch -M),Done,Low,2020-02-12 19:33:00,2021-02-22 05:44:00,feature - branch - rename,SourceTree version : 3.3.4.3796When I configure a Commit text Link and close SourceTree I can see the correct configuration in \.git\sourcetreeconfig.json.If I reopen SourceTree I see that the configured Commit text Link has been deleted.(just after reopening of SourceTree the file \.git\sourcetreeconfig.json is already overwritten with the deleted configuration)remark: because the field 'Affects Version/s' is required but my version is not available I added an existing but wrong version in this field. My version :a 3.3.4.3796
Failure to update display after operations,Done,Low,2020-01-22 12:04:00,2020-11-17 14:35:00,bug - UI - refresh,"Sourcetree version 3.3.4Git embedded 2.21.0Windows 10 Pro 10.0.18363If Use Git Bash option is selected, Terminal button does not work, if unselected, a cmd prompt window is opened correctly. Seems to be a pathing issue with the terminal button and git bash executable"
Pair Programming Note In Commit ,Done,Low,2021-02-01 07:27:00,2021-02-01 08:30:00,bug - commit - pair-programming,"Sourcetree versions after 3.1.3 are using a different web api to retrieve the list of remote repositories from a Bitbucket Server remote. These new api's do not return the list of repositories correctly.I'm unsure if this is a bug in Sourcetree (using bad api calls), or if its a bug in Bitbucket Server (does correctly implement new api's)."
Upgrade to 3.3.6 has major problems,Done,Low,2020-01-23 09:09:00,2020-11-10 15:17:00,bug - update - crash,"Sourcetree was working really well until I upgraded to 3.3.6 for Windows yesterday and now there are major issues with the interface: # The labels on the tabs has changed to the base folder name (this had been previously fixed); # When you click on a branch, nothing happens; you have to change tab, then come back to see the focus move to the selected node; # When you select changes to commit, nothing happens;a  you have to change tab, then come back to see the selected changes move to the top window."
Push to form is committing to master repository,Done,Low,2019-11-05 16:45:00,2020-11-05 14:04:00,bug - push - master,"SourceTree Windows 3.2.6 running on Windows 10.(Windows 10 is running as VM on Parallels Desktop on macOS 10,16)In SourceTree Windows, do Tools | Options | GitPush Branches option is set to ""matching""Change the Push Branches option to any other value, such as ""upstream""Click OKReopen the options dialog with Tools | Options | GitThe Push Branches option is still set to ""matching"" instead of ""upstream"" (FAIL)."
Ability to hide diff pane in File Status view,Done,Low,2020-09-11 13:15:00,2021-01-22 10:32:00,feature - UI - diff-pane,"SourceTree Windows updated yesterday to 3.4.2, now everytime I open the app I get prompted to download Git LFS for every repository.a a Version is 3.4.2 which is not listed in Jira as an option."
Main Sourcetree window doesn't update automatically,Done,Low,2020-01-19 14:29:00,2020-03-25 15:27:00,bug - UI - refresh,"Steps to reproduce: # Open [https://nibulon.com/data/zakupivlya-silgospprodukcii/kalkulyator-znizhok.html] # Select an arbitrary value in the delivery base # Choose an arbitrary culture # Enter a humidity indicator between 50 and 100%Expected result:a a a  ""Ð’Ð²ÐµÐ´Ñ–Ñ‚ÑŒ Ð¿Ð¾ÐºÐ°Ð·Ð½Ð¸Ðº Ð²Ð¾Ð»Ð¾Ð³Ð¾ÑÑ‚Ñ– Ð¼ÐµÐ½ÑˆÐµ 50%""Actual resulta a a ""Ð’Ð²ÐµÐ´Ñ–Ñ‚ÑŒ Ð¿Ð¾ÐºÐ°Ð·Ð½Ð¸Ðº Ð²Ð¾Ð»Ð¾Ð³Ð¾ÑÑ‚Ñ– Ñƒ %""a !image-2020-02-15-14-43-06-299.png|width=313,height=63!a a "
RCE via git-lfs in Sourcetree for Windows - CVE-2021-21237,Done,Low,2021-03-08 10:15:00,2021-10-22 11:38:00,bug - security - RCE - git-lfs,"Steps to reproduce: # Open repository settings # Go to edit remote dialog # Fill in Legacy account settings i.e. for Bitbucket Server # Click Ok in Remote details dialog # Click Ok Repository settings dialog # Restart SourceTree # Open Remote details againExpected integration settings to be savedActually, integration settings are empty"
Embedded PuTTY replaces running instance of PuTTY,Done,Low,2021-03-25 09:48:00,2021-04-07 13:34:00,bug - putty - embedded,Terminal cannot be opened when system git is enabled in v3.3.4 or later. It was available in v3.2.6Nothing happens when I press the terminal button in the upper right corner.a sourcetree.loga -------------SourceTree.Repo.RepoHandlerGitOld] [Log] - UNable to bash start process for 'C:\Users\<project pass>'--------------a 
Test Bug,Done,Low,2022-11-10 05:42:00,2022-11-11 06:48:00,bug - test,Test Bug
Restore the amend checkbox,Done,Low,2022-06-22 11:11:00,2022-06-23 06:23:00,bug - amend - checkbox,"The content of the update dialog is unreadable in Dark-mode on Windows, as seen in the red marked areas.Sourcetree-Version 3.4.6.a !image-2021-11-18-14-55-29-338.png|width=608,height=296!"
Sourcetree on exit terminates pageant process while it should not,Done,Low,2021-03-22 12:16:00,2021-03-24 13:57:00,bug - pageant - exit,"The current Sourcetree version 3.4.3 terminates a running pageant process even though it was not started by Sourcetree.The corresponding option to start pageant when Sourcetree is started is disabled. The running pageant process should not be touched by Sourcetree if it was not started by Sourcetree itself.This behavior has not been noticeable in previous versions. This behavior is traceable on two different Windows installations.Besides, the versions of putty-tools installed with Sourcetree are a bit outdated.The current version 3.4.3 cannot (yet) be selected for the bugreport."
Diff Panel not showing the changes,Done,Low,2022-12-27 03:55:00,2023-01-16 04:22:00,bug - diff - panel,The diff panel is not showing the differences in the bottom right side in versions3.4.10 and 3.4.11The version 3.4.9 is working fine.
SourceTree forgets my bitbucket authentication,Done,Low,2019-12-17 13:47:00,2020-03-25 15:27:00,bug - authentication - bitbucket,"The Digital Certificate validity period has expired on the 28th of Nov 2022. This is causing alerts in security monitoring software for use. Please see the attached screen shot of a fresh install, downloaded and installed today from the main website.a !image-2022-11-30-15-33-37-308.png!"
Cascadia Code - Selected font weight ignored,Done,Low,2022-10-27 15:02:00,2022-10-28 03:13:00,bug - UI - font - cascadia-code,The Download for Windows link points to [https://product-downloads.atlassian.com/software/sourcetree/windows/ga/SourceTreeSetup-3.4.9.exe]a It should point to[https://product-downloads.atlassian.com/software/sourcetree/windows/ga/SourceTreeSetup-3.4.10.exe]a 
Note when reset to other branch commit,Done,Low,2022-09-28 10:58:00,2023-01-04 04:53:00,bug - reset - branch,"The dropdown that lets you select which organization to show repositories from is blank.I am using Sourcetree 3.4.9 authenticated with OAuth to a Bitbucket hosted by Atlassian.!image-2022-09-28-12-53-24-052.png|width=616,height=211!Related questions on Atlassian community:[Why is the dropdown for Organization Repos showing... (atlassian.com)|https://community.atlassian.com/t5/Sourcetree-questions/Why-is-the-dropdown-for-Organization-Repos-showing-blank/qaq-p/2058592#U2147502][Workspaces are ""blank"" when selecting remote repos... (atlassian.com)|https://community.atlassian.com/t5/Sourcetree-questions/Workspaces-are-quot-blank-quot-when-selecting-remote-repos-in/qaq-p/1967986#M41171]Related stack overflow:[bitbucket - Workspaces are ""blank"" when selecting remote repos in Sourcetree - Stack Overflow|https://stackoverflow.com/questions/71423053/workspaces-are-blank-when-selecting-remote-repos-in-sourcetree]"
Tabs are not refreshed automatically,Done,Low,2020-01-30 11:37:00,2020-11-17 14:43:00,bug - UI - tabs - refresh,The initial box comes up for the install. I click BitBucket. It opens a page and says authentication successful you can close this. Then nothing else happens. The Next button never becomes highlighted to continue with the installationa And what got downloaded was version 3.3.6 but it's not in the list. How do I get an older version that maybe will work
Didcount calculator unclear error message when entering letters into index field,Done,Low,2020-01-22 14:35:00,2020-11-10 15:16:00,bug - UI - error-message,"The last couple versions seem to have broken something. I noticed it around the same time as the fix for populating the branch name when pushing a local branch to origin. The behavior is when I perform an operation like checking out a different branch by double-clicking, the UI never updates to show the new branch checked out. Or if there is a change I need to pull from origin and I click 'Pull' the UI doesn't update to show that the branch is up-to-date. I've tried the following: * I uninstalled, deleted <login>\AppData\Local\Atlassian, reinstalled, re-added my repo and still get the same behavior * It has to do with one local repo in particular. I've added other local repos, even clones of the same repo, and they seem to work fine. The repo is pretty large. I Done Sourcetree, tried a git clean -xfd, reloaded Sourcetree and the problem persists.The version is 3.3.7 but the dropdown below isn't allowing it."
Creating new branch does not create branch on remote,Done,Low,2020-05-12 23:49:00,2020-11-10 05:30:00,bug - branch - remote,"The lastest version of SourceTree suffers from huge rendering stalls which make it unusable. Attaching a mixed-mode debugger and breaking execution during a stall yields the following stack trace:a a ... WindowsCodecsExt.dll!CIcmColorTransform::Initialize() Unknown WindowsCodecsExt.dll!IWICColorTransform_Initialize_Proxy() Unknown PresentationCore.ni.dll!00007fffdce261fd() Unknown [Managed to Native Transition]  PresentationCore.dll!System.Windows.Media.Imaging.ColorConvertedBitmap.FinalizeCreation() Unknown PresentationCore.dll!System.Windows.Media.Imaging.BitmapSource.CreateCachedBitmap(System.Windows.Media.Imaging.BitmapFrame frame, System.Windows.Media.Imaging.BitmapSourceSafeMILHandle wicSource, System.Windows.Media.Imaging.BitmapCreateOptions createOptions, System.Windows.Media.Imaging.BitmapCacheOption cacheOption, System.Windows.Media.Imaging.BitmapPalette palette) Unknown PresentationCore.dll!System.Windows.Media.Imaging.BitmapFrameDecode.FinalizeCreation() Unknown PresentationCore.dll!System.Windows.Media.Imaging.BitmapSource.CompleteDelayedCreation() Unknown PresentationCore.dll!System.Windows.Media.Imaging.BitmapSource.WicSourceHandle.get() Unknown PresentationCore.dll!System.Windows.Media.Imaging.BitmapSource.DUCECompatiblePtr.get() Unknown PresentationCore.dll!System.Windows.Media.Imaging.BitmapSource.UpdateBitmapSourceResource(System.Windows.Media.Composition.DUCE.Channel channel, bool skipOnChannelCheck) Unknown PresentationCore.dll!System.Windows.Media.Imaging.BitmapSource.AddRefOnChannelCore(System.Windows.Media.Composition.DUCE.Channel channel) Unknown PresentationCore.dll!System.Windows.Media.Imaging.BitmapSource.System.Windows.Media.Composition.DUCE.IResource.AddRefOnChannel(System.Windows.Media.Composition.DUCE.Channel channel) Unknown PresentationCore.dll!System.Windows.Media.RenderData.System.Windows.Media.Composition.DUCE.IResource.AddRefOnChannel(System.Windows.Media.Composition.DUCE.Channel channel) Unknown PresentationCore.dll!System.Windows.UIElement.RenderContent(System.Windows.Media.RenderContext ctx, bool isOnChannel) Unknown PresentationCore.dll!System.Windows.Media.Visual.RenderRecursive(System.Windows.Media.RenderContext ctx) Unknown PresentationCore.dll!System.Windows.Media.Visual.UpdateChildren(System.Windows.Media.RenderContext ctx, System.Windows.Media.Composition.DUCE.ResourceHandle handle) Unknown ...a a The control being rendered is a `SourceTree.UI.Theme.Wpf.Controls.ThemeImage`, and the bitmap that is being rendered has the URI ""pack://application:,,,/SourceTree.UI.Theme.Wpf;Component/Icons/FileStatus_Dark/modified.tiff"".I don't know anything about WPF and cannot tell if this is a WPF bug, but the call to `System.Windows.Media.Imaging.BitmapSource.CreateCachedBitmap()` happens many times for many UI operations in SourceTree, and every call costs ~1.2 sec which really adds up, especially because the UI thread is unresponsive during that time."
Differing behavior - launching terminal,Done,Low,2020-01-22 11:45:00,2020-11-10 15:17:00,bug - terminal - behavior,"The option ""Refresh automatically when files change"" no longer works in 3.3.7. It was working fine in 3.3.6. What used to happen was when SourceTree gained focus, if anything had changed it would auto refresh. This no longer occurs. (NOTE: option ""Refresh when application is not in focus"" is disabled)In fact even operations initiated in Sourcetree no longer refresh. For example creating or applying a stash doesn't actually update the repo view, you have to manually hit F5 to force a refresh. Again this was working fine in 3.3.6.This is causing major issues for us as it means you are operating in a stale view of the repo unless you keep constantly hitting F5 to force a full refresh."
Force push setting is reset during upgrade 3.4.4 -> 3.4.5,Done,Low,2021-06-17 14:46:00,2022-03-09 06:12:00,bug - force-push - upgrade,The SourceTree application remains open for a couple of seconds before it crashes without an error.a  I will work on checking the event logs and also will provide a recording to this story for more context.
Typing Commit Messages,Done,Low,2022-02-14 10:15:00,2022-02-18 04:23:00,bug - commit - message,"The title says it all, someone might wanna fix this."
Push new branch to remote doesn't work,Done,Low,2019-10-04 21:52:00,2020-10-30 14:48:00,bug - push - branch,"There was a vulnerability in Sourcetree for macOS and windows that could reveal Git user credentials via maliciously crafted URL by an attacker, This vulnerability is triggered when the affected version of Git is used to execute a git clone command on a malicious URL.Affected versions of Atlassian Sourcetree For Mac allow remote attackers to view sensitive information via an Information Disclosure vulnerability in Git.Affected versions of Atlassian Sourcetree for Windows allow remote attackers to view sensitive information via an Information Disclosure vulnerability in Git.*Affected versions:* * Windows version 3.2.2 and earlier*Fixed versions:* * Windows versiona 3.3.9*Released Sourcetree for Windows versiona 3.3.9*a that contains fixes for these issues and can be downloaded froma [https://www.sourcetreeapp.com/].For additional details, see thea [full advisory|https://confluence.atlassian.com/pages/viewpage.action?spaceKey=SOURCETREEKB&title=SourceTree+Security+Advisory+2020-09-02]"
Logical tree level for local branches,Done,Low,2021-03-16 15:11:00,2021-03-16 15:59:00,bug - UI - tree-view,"There was an argument injection vulnerability in SourceTree for Windows introduced through git-lfs. An attacker could create a malicious repository which, after being cloned in SourceTree for Windows and enabled with git-lfs, is able to exploit this issue to gain code execution on the system.a *This is the result of an incomplete fix for CVE-2020-27955**Affected versions:* * Versiona 3.4.2 and earliera *Fix* * You can download the latest version ofa the [standard installer|https://product-downloads.atlassian.com/software/sourcetree/windows/ga/SourceTreeSetup-3.3.9.exe] or the [enterprise installer|https://product-downloads.atlassian.com/software/sourcetree/windows/ga/SourcetreeEnterpriseSetup_3.3.9.msi].a For additional details, see the [full advisory|https://confluence.atlassian.com/display/SOURCETREEKB/SourceTree+for+Windows+Security+Advisory+24th+March+2021]"
Sourcetree crashes when remote repository is not available,Done,Low,2020-09-10 08:36:00,2021-01-15 05:27:00,bug - crash - remote-repository,"There was an argument injection vulnerability in SourceTree for Windows introduced through git-lfs. An attacker could create a malicious repository which, after being cloned in SourceTree for Windows and enabled with git-lfs, is able to exploit this issue to gain code execution on the system.*Affected versions:* * Versiona 3.3.9a and earliera *Fix* * You can download the latest version ofa the [standard installer|https://product-downloads.atlassian.com/software/sourcetree/windows/ga/SourceTreeSetup-3.3.9.exe] or the [enterprise installer|https://product-downloads.atlassian.com/software/sourcetree/windows/ga/SourcetreeEnterpriseSetup_3.3.9.msi].a For additional details, see the [full advisory|https://confluence.atlassian.com/display/SOURCETREEKB/SourceTree+for+Windows+Security+Advisory+24th+March+2021]"
Context Menu slow with large repository with many branches,Done,Low,2022-05-13 08:51:00,2022-05-31 05:13:00,bug - performance - context-menu,"This github blog, [https://github.blog/2022-04-12-git-security-vulnerability-announced/] ,a  recommend that everyone use git v2.35.2.a But I could not update embedded git in sourcetree.a Now should I use system git ?Here is my steps to update embedded git: # Open *SourceTree* # Go to *Tool* -> *Option* # Select *Git* tab # In *Git version* section, push *Update Embedded*"
Choosing resolve using mine asks me to confirm that I want to resolve using theirs,Done,Low,2021-11-18 13:56:00,2022-05-31 05:10:00,bug - merge - conflict-resolution,"This message appears every time I open SourceTree:!image-2022-05-06-11-39-23-787.png!The embedded and system git installed are 2.36.0.Any attempt to push a large file gives me this:git -c diff.mnemonicprefix=false -c core.quotepath=false --no-optional-locks push -v --tags origin master:mastererror: cannot spawn git-credential-helper-selector: Function not implementederror: cannot spawn git-credential-helper-selector: Function not implementedPushing to https://bitbucket.org/mourant/tab-model-2.0.giterror: cannot spawn git-lfs: Function not implementederror: failed to push some refs to 'xxx.git'Completed with errors, see above."
Error MessageBox do not shown when there are conflicts during git cherry pick,Done,Low,2022-10-27 16:57:00,2022-10-28 03:13:00,bug - cherry-pick - conflict,"This popup keep coming back.I updated my system git, and change the setting in sourcetree to use either System and embedded GIT.!https://community.atlassian.com/t5/image/serverpage/image-id/217257i6C42C06EC4C71FF2/image-size/large?v=v2&px=999!"
Can't start SourceTree after updating to 3.4.10,Done,Low,2022-12-04 23:15:00,2022-12-09 06:06:00,bug - startup - update,Try to upgrade to 3.4.10 but it got an error. Now I can't start SourceTree.
Can't use SourceTree or fully log in,Done,Low,2020-01-13 17:28:00,2020-11-10 15:40:00,bug - authentication - login,updated sourcetree to version 3.3.6 - on this version any action that is done on file status bat is not refreshing view. I can stage file but is is not moving to staged filesa 
"Source Tree External difference comparison, no response",Done,Low,2019-12-21 15:26:00,2020-03-25 15:27:00,bug - external-diff - comparison,"Updating from version 3.4.9 to 3.4.10 fails with the following message:{code:java}Method not found: 'Void SharpCompress.Readers.IReaderExtensions.WriteEntryToFile(SharpCompress.Readers.IReader, System.String, SharpCompress.Readers.ExtractionOptions)'. {code}As a result of this failure I get an empty `app-3.4.10` folder which prevents me from starting SourceTree from that point onward. I need to manually remove that folder to get SourceTree working again.a Please advise on how I can update to the new version without issues.a *Steps to reproduce* * Start SourceTree version 3.4.9 * Wait for the update icon at the top right to appear * Click the icon and click the button to update toa version 3.4.10 * Wait for the popup to appear stating the error message described above.*Environment* * Sourcetree for windows version 3.4.9 * Windows 11 Pro 22H2 (also happened on the version before that, I updated last Saturday); build 22621.674 * Hardware ** Intel i7 12700H ** 32GB RAM ** 500GB SSD with ~319 GB available.*Attachments*!image-2022-11-07-08-43-47-342.png!!image-2022-11-07-08-43-52-482.png!"
Sourcetree Stop during Clone -> advanced setting ,Done,Low,2021-12-19 05:29:00,2022-03-09 06:13:00,bug - clone - crash,"Used version: 3.4.7Repository in Bitbucket just created and its empty.Try to clove it - App is closing automatically.Error from windows logs:{code:java}Application: SourceTree.exeFramework Version: v4.0.30319Description: The process was terminated due to an unhandled exception.Exception Info: System.IndexOutOfRangeExceptiona a at SourceTree.Repo.RepoHandlerGitOld.GetDefaultBranch(System.String)a a at SourceTree.ViewModel.CloneNewDialogViewModel+<>c__DisplayClass212_0.<RefreshRemoteBranches>b__1()a a at System.Threading.Tasks.Task`1[[System.__Canon, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]].InnerInvoke()a a at System.Threading.Tasks.Task.Execute()a a at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()a a at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(System.Threading.Tasks.Task)a a at System.Runtime.CompilerServices.TaskAwaiter`1[[System.__Canon, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]].GetResult()a a at SourceTree.ViewModel.CloneNewDialogViewModel+<RefreshRemoteBranches>d__212.MoveNext()a a at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()a a at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(System.Threading.Tasks.Task)a a at System.Runtime.CompilerServices.TaskAwaiter.GetResult()a a at SourceTree.ViewModel.CloneNewDialogViewModel+<CheckSource>d__211.MoveNext()Exception Info: ReactiveUI.UnhandledErrorExceptiona a at ReactiveUI.RxApp+<>c__DisplayClass11_0.<.cctor>b__2()a a at System.Reactive.Concurrency.Scheduler.Invoke(System.Reactive.Concurrency.IScheduler, System.Action)a a at System.Reactive.Concurrency.DispatcherScheduler+<>c__DisplayClass12_0`1[[System.__Canon, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]].<Schedule>b__0()a a at System.Windows.Threading.ExceptionWrapper.InternalRealCall(System.Delegate, System.Object, Int32)a a at System.Windows.Threading.ExceptionWrapper.TryCatchWhen(System.Object, System.Delegate, System.Object, Int32, System.Delegate)a a at System.Windows.Threading.DispatcherOperation.InvokeImpl()a a at MS.Internal.CulturePreservingExecutionContext.CallbackWrapper(System.Object)a a at System.Threading.ExecutionContext.RunInternal(System.Threading.ExecutionContext, System.Threading.ContextCallback, System.Object, Boolean)a a at System.Threading.ExecutionContext.Run(System.Threading.ExecutionContext, System.Threading.ContextCallback, System.Object, Boolean)a a at System.Threading.ExecutionContext.Run(System.Threading.ExecutionContext, System.Threading.ContextCallback, System.Object)a a at MS.Internal.CulturePreservingExecutionContext.Run(MS.Internal.CulturePreservingExecutionContext, System.Threading.ContextCallback, System.Object)a a at System.Windows.Threading.DispatcherOperation.Invoke()a a at System.Windows.Threading.Dispatcher.ProcessQueue()a a at System.Windows.Threading.Dispatcher.WndProcHook(IntPtr, Int32, IntPtr, IntPtr, Boolean ByRef)a a at MS.Win32.HwndWrapper.WndProc(IntPtr, Int32, IntPtr, IntPtr, Boolean ByRef)a a at MS.Win32.HwndSubclass.DispatcherCallbackOperation(System.Object)a a at System.Windows.Threading.ExceptionWrapper.InternalRealCall(System.Delegate, System.Object, Int32)a a at System.Windows.Threading.ExceptionWrapper.TryCatchWhen(System.Object, System.Delegate, System.Object, Int32, System.Delegate)a a at System.Windows.Threading.Dispatcher.LegacyInvokeImpl(System.Windows.Threading.DispatcherPriority, System.TimeSpan, System.Delegate, System.Object, Int32)a a at MS.Win32.HwndSubclass.SubclassWndProc(IntPtr, Int32, IntPtr, IntPtr)a a at MS.Win32.UnsafeNativeMethods.DispatchMessage(System.Windows.Interop.MSG ByRef)a a at System.Windows.Threading.Dispatcher.PushFrameImpl(System.Windows.Threading.DispatcherFrame)a a at System.Windows.Application.RunDispatcher(System.Object)a a at System.Windows.Application.RunInternal(System.Windows.Window)a a at SourceTree.App.Main() {code}"
